origin,scenario,routed,<=15,<=30,<=45,<=60,km2,seconds
downtown,tue_0800,True,124,919,3167,4941,111.2,4.0
downtown,tue_2000,True,85,282,476,1144,25.7,0.9
downtown,sat_1700,True,62,301,825,2397,53.9,1.0
downtown,sun_1200,False,0,0,0,0,0.0,0.0
unl-east-campus,tue_0800,True,169,743,1834,3188,71.7,1.2
unl-east-campus,tue_2000,True,105,331,439,617,13.9,0.9
unl-east-campus,sat_1700,True,58,149,652,1215,27.3,0.8
unl-east-campus,sun_1200,False,0,0,0,0,0.0,0.0
n27th-superior,tue_0800,True,46,663,1338,2349,52.9,0.9
n27th-superior,tue_2000,True,41,145,546,786,17.7,0.8
n27th-superior,sat_1700,True,41,51,438,996,22.4,0.8
n27th-superior,sun_1200,False,0,0,0,0,0.0,0.0
bryan-east,tue_0800,True,62,522,1327,2878,64.8,1.0
bryan-east,tue_2000,True,62,62,62,62,1.4,0.7
bryan-east,sat_1700,True,62,135,659,1196,26.9,0.8
bryan-east,sun_1200,False,0,0,0,0,0.0,0.0
s40th-briarpark,tue_0800,True,58,59,224,489,11.0,0.8
s40th-briarpark,tue_2000,True,58,59,59,59,1.3,0.7
s40th-briarpark,sat_1700,True,58,59,224,489,11.0,0.8
s40th-briarpark,sun_1200,False,0,0,0,0,0.0,0.0
48th-r-target,tue_0800,True,57,324,1012,2547,57.3,0.9
48th-r-target,tue_2000,True,57,74,315,622,14.0,0.8
48th-r-target,sat_1700,True,57,107,420,970,21.8,0.8
48th-r-target,sun_1200,False,0,0,0,0,0.0,0.0
